id,dept,uni
208,"Nuclear Energy Engineering","Hacettepe University"
209,"Industrial Engineering","TED University"
210,"Mechanical Engineering","Niğde Ömer Halisdemir University"
211,"Electrical and Electronics Engineering","Hacettepe University"
212,"Electrical and Electronics Engineering","Ankara University"
213,"Computer Engineering","İzmir University of Economics"
214,Economics,"Bilkent University"
215,"Industrial Engineering","Hava Harp Okulu"
216,"System Engineering","Turkish Military Academy"
217,"Business Administration","Bilkent University"
218,"Industrial Engineering","Selçuk University"
219,Chemistry,"Hacettepe University"
220,Chemistry,"Ondokuz Mayıs University"
221,"Physics Engineering","Hacettepe University"
222,"Physics Engineering","Hacettepe University"
223,"Business Administration","Hacettepe University"
224,"Civil Engineering","Sakarya University"
225,"Civil Engineering","Pamukkale University"
226,"Materials Science and Engineering","Dumlupınar University"
227,"Materials Science and Engineering","Dumlupınar University"
228,"Chemical Engineering","Cumhuriyet University"
229,"Business Administration","Hacettepe University"
230,"Political Science & Public Administration","Bilkent University"
231,"Aeronautical Engineering","Turkish Aeronautical Association University"
232,"Computer Engineering","İzmır Institute of Technology"
233,Economics,"Dumlupinar University"
234,"Industrial Engineering","Dumlupinar University"
235,"Chemical Engineering","Gazi University"
236,"Energy Systems Engineering","Osmaniye Korkut Ata University"
237,"Metallurgical and Materials Engineering","Gazi University"
238,"Geological Engineering",METU
239,"Electrical and Electronics Engineering","Süleyman Demirel University"
240,"Materials Science and Engineering","Erciyes University"
241,"Mechanical Engineering","Gaziantep University"
242,Statistics,METU
243,"Computer Engineering","İzmir Gediz University"
244,"civil engineering","Akdeniz University"
245,"Biochemistry / Biotechnology","Ege University"
246,"Energy Systems Engineering","Gazi University"
247,"Energy Systems Engineering","Gazi University"
248,"Political Science and International Relations","Yıldırım Beyazıt University"
249,"Political Science and International Relations","Yıldırım Beyazıt University"
250,"Geomatics Engineering","Selcuk University"
251,"Computer Education and Instractional Technology",METU
252,"Statistics and Computer Science","Başkent University"
253,"Civil Engineering","İzmir Gediz University"
254,"Civil Engineering","İzmir Gediz University"
255,"Industrial Engineering","Eskişehir Osmangazi University"
256,"Mechatronics Engineering","Sabancı University"
257,"Mechatronics Engineering","Çankaya University"
258,"Applied Mathematics and Computer Science","Lomonosov Moscow State University"
259,"Biomedical Engineering","Near East University"
260,"Biomedical Engineering","Near East University"
261,"Metallurgical and Materials Engineering","Eskişehir Osmangazi University"
262,"Metallurgical and Materials Engineering","Eskişehir Osmangazi University"
263,"Mechanical Engineering","Dokuz Eylül University"
264,"Metallurgical and Materials engineering","Ankara Yıldırım Beyazıt University"
265,"Aeronautical Engineering","Hava Harp Okulu"
266,"Biomedical Engineering","Ankara University"
267,"Biomedical Engineering","Ankara University"
268,"Mechanical Engineering","Ege University"
269,"Mechatronics Engineering","Turkish Aeronautical Association University"
270,"Civil Engineering","National Defence University"
271,"Textile Engineering","Çukurova University"
272,"Metallurgical and Materials Engineering","Ankara Yıldırım Beyazıt University"
273,"Electrical and Electronics Engineering","Erciyes University"
274,"Industrial Engineering","İstanbul Technical University"
275,"Mechanical Engineering","Marmara University"
276,"Food Engineering","Ankara University"
277,"Food Engineering","Ankara University"
278,Chemistry,"Mersin University"
279,Chemistry,"Ankara University"
280,"Electrical and Electronics Engineering","9 Eylül University"
281,"Computer Engineering","Kırıkkale University"
282,"Mechatronics Engineering","Fırat University"
283,"civil engineering","national defens university"
284,"Textile engineering","Süleyman Demirel University"
285,"Civil Engineer","Çankaya Üniversitesi"
286,"Civil Engineering","Cankaya University"
287,"Mechanical Engineering","Cukurova University"
