id,username,type,graduation_date,cgpa,entryyear,entrytype,left_date
1510,N20134732,8,NULL,NULL,2020,NULL,NULL
1511,N20135286,8,NULL,NULL,2020,NULL,NULL
1512,N20135645,8,NULL,NULL,2020,NULL,NULL
1513,N20135675,8,NULL,NULL,2020,NULL,NULL
1514,N20135891,8,NULL,NULL,2020,NULL,NULL
1515,N20136662,8,NULL,NULL,2020,NULL,NULL
1516,N20136928,8,NULL,NULL,2020,NULL,NULL
1517,N20137108,8,NULL,NULL,2020,NULL,NULL
1518,N20137125,9,NULL,NULL,2020,NULL,NULL
1519,N20137203,8,NULL,NULL,2020,NULL,NULL
1520,21332101,9,NULL,NULL,2020,NULL,NULL
1521,N20137412,9,NULL,NULL,2020,NULL,NULL
1522,N20138298,8,NULL,NULL,2020,NULL,NULL
1523,N20138679,8,NULL,NULL,2020,NULL,NULL
1524,N20138742,8,NULL,NULL,2020,NULL,NULL
1525,N20138797,8,NULL,NULL,2020,NULL,NULL
1526,N20130501,6,NULL,NULL,2020,NULL,NULL
1527,N20131234,6,NULL,NULL,2020,NULL,NULL
1528,N20131413,6,NULL,NULL,2020,NULL,NULL
1529,N20131809,6,NULL,NULL,2020,NULL,NULL
1530,N20131832,6,NULL,NULL,2020,NULL,NULL
1531,N20132883,6,NULL,NULL,2020,NULL,NULL
1532,N20133049,6,NULL,NULL,2020,NULL,NULL
1533,N20133313,6,NULL,NULL,2020,NULL,NULL
1534,N20133448,6,NULL,NULL,2020,NULL,NULL
1535,N20134528,6,NULL,NULL,2020,NULL,NULL
1536,N20134709,6,NULL,NULL,2020,NULL,NULL
1537,N20134763,6,NULL,NULL,2020,NULL,NULL
1538,N20135563,6,NULL,NULL,2020,NULL,NULL
1539,N20135642,6,NULL,NULL,2020,NULL,NULL
1540,N20135663,6,NULL,NULL,2020,NULL,NULL
1542,N20136590,6,NULL,NULL,2020,NULL,NULL
1544,N20137009,6,NULL,NULL,2020,NULL,NULL
1545,N20137192,6,NULL,NULL,2020,NULL,NULL
1546,N20137709,6,NULL,NULL,2020,NULL,NULL
1547,N20137890,6,NULL,NULL,2020,NULL,NULL
1548,N20138087,6,NULL,NULL,2020,NULL,NULL
1549,N20138252,6,NULL,NULL,2020,NULL,NULL
